czas;sterowanie;pozycja;generator PRBS
0;0,063260907;-25,525;-25,461739
0,001;0,063260907;-25,525;-25,461739
0,002;0,038260907;-25,5;-25,461739
0,003;0,063260907;-25,525;-25,461739
0,004;0,063260907;-25,525;-25,461739
0,005;0,063260907;-25,525;-25,461739
0,006;0,063260907;-25,525;-25,461739
0,007;0,063260907;-25,525;-25,461739
0,008;0,063260907;-25,525;-25,461739
0,009;0,063260907;-25,525;-25,461739
0,01;0,063260907;-25,525;-25,461739
0,011;0,063260907;-25,525;-25,461739
0,012;0,038260907;-25,5;-25,461739
0,013;0,063260907;-25,525;-25,461739
0,014;0,038260907;-25,5;-25,461739
0,015;0,063260907;-25,525;-25,461739
0,016;0,063260907;-25,525;-25,461739
0,017;0,063260907;-25,525;-25,461739
0,018;0,063260907;-25,525;-25,461739
0,019;0,063260907;-25,525;-25,461739
0,02;0,063260907;-25,525;-25,461739
0,021;0,038260907;-25,5;-25,461739
0,022;0,038260907;-25,5;-25,461739
0,023;0,038260907;-25,5;-25,461739
0,024;0,038260907;-25,5;-25,461739
0,025;0,063260907;-25,525;-25,461739
0,026;0,063260907;-25,525;-25,461739
0,027;0,063260907;-25,525;-25,461739
0,028;0,063260907;-25,525;-25,461739
0,029;0,063260907;-25,525;-25,461739
0,03;0,038260907;-25,5;-25,461739
0,031;0,038260907;-25,5;-25,461739
0,032;0,063260907;-25,525;-25,461739
0,033;0,038260907;-25,5;-25,461739
0,034;0,063260907;-25,525;-25,461739
0,035;0,063260907;-25,525;-25,461739
0,036;0,063260907;-25,525;-25,461739
0,037;0,063260907;-25,525;-25,461739
0,038;0,063260907;-25,525;-25,461739
0,039;0,063260907;-25,525;-25,461739
0,04;0,063260907;-25,525;-25,461739
0,041;0,063260907;-25,525;-25,461739
0,042;0,038260907;-25,5;-25,461739
0,043;0,063260907;-25,525;-25,461739
0,044;0,063260907;-25,525;-25,461739
0,045;0,063260907;-25,525;-25,461739
0,046;0,063260907;-25,525;-25,461739
0,047;0,063260907;-25,525;-25,461739
0,048;0,063260907;-25,525;-25,461739
0,049;0,063260907;-25,525;-25,461739
0,05;-0,32202248;-25,525;-25,847022
0,051;-0,32202248;-25,525;-25,847022
0,052;-0,32202248;-25,525;-25,847022
0,053;-0,32202248;-25,525;-25,847022
0,054;-0,32202248;-25,525;-25,847022
0,055;-0,32202248;-25,525;-25,847022
0,056;-0,29702248;-25,55;-25,847022
0,057;-0,29702248;-25,55;-25,847022
0,058;-0,27202248;-25,575;-25,847022
0,059;-0,24702248;-25,6;-25,847022
0,06;-0,19702248;-25,65;-25,847022
0,061;-0,12202248;-25,725;-25,847022
0,062;-0,047022482;-25,8;-25,847022
0,063;-0,022022482;-25,825;-25,847022
0,064;0,052977518;-25,9;-25,847022
0,065;0,10297752;-25,95;-25,847022
0,066;0,12797752;-25,975;-25,847022
0,067;0,15297752;-26;-25,847022
0,068;0,20297752;-26,05;-25,847022
0,069;0,25297752;-26,1;-25,847022
0,07;0,30297752;-26,15;-25,847022
0,071;0,32797752;-26,175;-25,847022
0,072;0,35297752;-26,2;-25,847022
0,073;0,35297752;-26,2;-25,847022
0,074;0,35297752;-26,2;-25,847022
0,075;0,32797752;-26,175;-25,847022
0,076;0,27797752;-26,125;-25,847022
0,077;0,27797752;-26,125;-25,847022
0,078;0,27797752;-26,125;-25,847022
0,079;0,27797752;-26,125;-25,847022
0,08;0,27797752;-26,125;-25,847022
0,081;0,27797752;-26,125;-25,847022
0,082;0,20297752;-26,05;-25,847022
0,083;0,17797752;-26,025;-25,847022
0,084;0,12797752;-25,975;-25,847022
0,085;0,002977518;-25,85;-25,847022
0,086;-0,022022482;-25,825;-25,847022
0,087;-0,047022482;-25,8;-25,847022
0,088;-0,047022482;-25,8;-25,847022
0,089;-0,047022482;-25,8;-25,847022
0,09;-0,047022482;-25,8;-25,847022
0,091;-0,072022482;-25,775;-25,847022
0,092;-0,097022482;-25,75;-25,847022
0,093;-0,12202248;-25,725;-25,847022
0,094;-0,14702248;-25,7;-25,847022
0,095;-0,14702248;-25,7;-25,847022
0,096;-0,14702248;-25,7;-25,847022
0,097;-0,12202248;-25,725;-25,847022
0,098;-0,097022482;-25,75;-25,847022
0,099;-0,072022482;-25,775;-25,847022
0,1;-0,072022482;-25,775;-25,847022
0,101;-0,072022482;-25,775;-25,847022
0,102;-0,047022482;-25,8;-25,847022
0,103;-0,072022482;-25,775;-25,847022
0,104;-0,047022482;-25,8;-25,847022
0,105;-0,022022482;-25,825;-25,847022
0,106;0,052977518;-25,9;-25,847022
0,107;0,077977518;-25,925;-25,847022
0,108;0,10297752;-25,95;-25,847022
0,109;0,15297752;-26;-25,847022
0,11;0,15297752;-26;-25,847022
0,111;0,15297752;-26;-25,847022
0,112;0,15297752;-26;-25,847022
0,113;0,15297752;-26;-25,847022
0,114;0,15297752;-26;-25,847022
0,115;0,17797752;-26,025;-25,847022
0,116;0,17797752;-26,025;-25,847022
0,117;0,17797752;-26,025;-25,847022
0,118;0,20297752;-26,05;-25,847022
0,119;0,17797752;-26,025;-25,847022
0,12;0,17797752;-26,025;-25,847022
0,121;0,15297752;-26;-25,847022
0,122;0,15297752;-26;-25,847022
0,123;0,12797752;-25,975;-25,847022
0,124;0,12797752;-25,975;-25,847022
0,125;0,12797752;-25,975;-25,847022
0,126;0,12797752;-25,975;-25,847022
0,127;0,10297752;-25,95;-25,847022
0,128;0,10297752;-25,95;-25,847022
0,129;0,077977518;-25,925;-25,847022
0,13;0,027977518;-25,875;-25,847022
0,131;0,027977518;-25,875;-25,847022
0,132;0,002977518;-25,85;-25,847022
0,133;0,002977518;-25,85;-25,847022
0,134;0,002977518;-25,85;-25,847022
0,135;0,002977518;-25,85;-25,847022
0,136;0,002977518;-25,85;-25,847022
0,137;0,002977518;-25,85;-25,847022
